transaction_id,customer_id,customer_email,customer_country,product_category,product_name,unit_price,quantity,discount_applied,final_amount,payment_method,order_status,order_date,shipping_address
TRX-10000,bdd640fb-0667-4ad1-9c80-317fa3b1799d,john21@example.net,Saint Vincent and the Grenadines,Electronics,Quality-focused background parallelism,1113.62,2,0.0,2227.24,Credit Card,Refunded,2025-02-22 21:00:00,"33890 Jennifer Squares, Robinsonshire, KY 01352"
TRX-10001,b2b9437a-28df-4ec4-8e4a-2bbdc241330b,jpeterson@example.org,Serbia,,Mandatory bi-directional array,145.07,2,0.0,290.14,PayPal,Refunded,2025-01-14 17:00:00,"9407 Teresa Lane Apt. 849, Barbaraland, AZ 87174"
TRX-10002,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,wyattmichelle@example.com,Fiji,Books,Persevering scalable hierarchy,420.9,1,20.16,400.74,Bank Transfer,Pending,2025-08-05 10:00:00,"41928 Frank Light Suite 835, East Lydiamouth, MO 35594"
TRX-10003,f16287e4-e9c3-49e0-b602-f8ac10f1bc81,jason76@example.net,Kuwait,Home & Garden,Digitized empowering challenge,157.8,4,0.0,631.2,Bank Transfer,Completed,2025-06-26 19:00:00,"969 Cox Dam Suite 101, Lake Ernest, TX 55834"
TRX-10004,61b1cd22-6280-4c45-9043-5a1098ae4334,jrice@example.org,Pitcairn Islands,Books,Up-sized bifurcated software,191.62,4,0.0,766.48,Bank Transfer,Pending,2025-05-31 20:00:00,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572"
TRX-10005,295b4715-c333-4861-9fb8-d16c2720797d,georgetracy@example.org,Vanuatu,Electronics,Multi-lateral fault-tolerant encoding,993.59,3,764.85,2215.92,,Refunded,2025-02-21 12:00:00,"71822 Arroyo Expressway, Allisonchester, IL 71187"
TRX-10006,337ea2df-b09b-4a5c-badc-c32ac1590f53,raymond57@example.net,Korea,Home & Garden,Decentralized dynamic definition,248.17,3,0.0,744.51,Credit Card,Pending,2025-05-17 22:00:00,"839 Adrian Station, East Carloston, VI 43810"
TRX-10007,474a493b-3ced-4f2d-839f-bc501223b513,ilewis@example.net,Vietnam,Clothing,Re-engineered object-oriented leverage,249.29,4,0.0,997.16,PayPal,Cancelled,2025-11-24 22:00:00,"3116 Henderson Mountain Apt. 106, Laurenville, IA 25613"
TRX-10008,23e2fcb4-72d8-467d-894a-05e430b187ef,dwhite@example.org,Tunisia,Electronics,Compatible leadingedge workforce,347.43,1,41.81,305.62,Bank Transfer,Pending,2025-02-03 06:00:00,"80132 Tucker Forest, Barreraburgh, MS 00783"
TRX-10009,ed3049cf-43e4-48fc-a3f2-ae24fc3d3348,smitchell@example.net,Slovenia,Sports,Realigned stable structure,1327.6,4,0.0,5310.4,Bank Transfer,Refunded,2025-03-13 07:00:00,"3098 Julie Centers, New Thomashaven, GA 07956"
TRX-10010,d9f195d0-1482-4f53-8201-0c62f5f59b22,caseyjones@example.org,Iraq,Sports,Decentralized non-volatile encryption,546.18,2,0.0,1092.36,Credit Card,Pending,2025-02-16 01:00:00,"169 Donovan Ford, Johnfurt, DC 88540"
TRX-10011,50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,smithchristine@example.net,Bolivia,Toys,Compatible national data-warehouse,636.13,1,0.0,636.13,Bank Transfer,Completed,2025-11-02 14:00:00,"1354 Samuel Plains, Cherylhaven, AL 88039"
TRX-10012,ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,mcmillandennis@example.org,Tuvalu,Electronics,Customer-focused value-added neural-net,1024.16,5,1180.75,3940.05,Bank Transfer,Refunded,2025-06-24 03:00:00,"353 Wagner Glen Apt. 164, North Matthewberg, SC 34836"
